Time,Day,Room,Classes
08:00,Monday,1," (Sec 2A, Emp 120) |  (Sec 2A, Emp 120) |  (Sec 2B, Emp 120) |  (Sec 2B, Emp 120)"
08:00,Monday,2," (Sec 2A, Emp 120)"
08:00,Tuesday,1," (Sec 2A, Emp 120) |  (Sec 2A, Emp 120) |  (Sec 2B, Emp 120) |  (Sec 2B, Emp 120)"
08:00,Tuesday,2," (Sec 2A, Emp 120)"
08:00,Wednesday,1," (Sec 2A, Emp 120) |  (Sec 2A, Emp 120) |  (Sec 2B, Emp 120) |  (Sec 2B, Emp 120)"
08:00,Wednesday,2," (Sec 2A, Emp 120)"
08:00,Thursday,1," (Sec 2A, Emp 120) |  (Sec 2A, Emp 120) |  (Sec 2B, Emp 120) |  (Sec 2B, Emp 120)"
08:00,Thursday,2," (Sec 2A, Emp 120)"
08:00,Friday,1," (Sec 2A, Emp 120) |  (Sec 2A, Emp 120) |  (Sec 2B, Emp 120) |  (Sec 2B, Emp 120)"
08:00,Friday,2," (Sec 2A, Emp 120)"
09:00,Monday,1,
09:00,Monday,2,
09:00,Tuesday,1,
09:00,Tuesday,2,
09:00,Wednesday,1,
09:00,Wednesday,2,
09:00,Thursday,1,
09:00,Thursday,2,
09:00,Friday,1,
09:00,Friday,2,
10:00,Monday,1,
10:00,Monday,2,
10:00,Tuesday,1,
10:00,Tuesday,2,
10:00,Wednesday,1,
10:00,Wednesday,2,
10:00,Thursday,1,
10:00,Thursday,2,
10:00,Friday,1,
10:00,Friday,2,
11:00,Monday,1,
11:00,Monday,2,
11:00,Tuesday,1,
11:00,Tuesday,2,
11:00,Wednesday,1,
11:00,Wednesday,2,
11:00,Thursday,1,
11:00,Thursday,2,
11:00,Friday,1,
11:00,Friday,2,
12:00,Monday,1,
12:00,Monday,2,
12:00,Tuesday,1,
12:00,Tuesday,2,
12:00,Wednesday,1,
12:00,Wednesday,2,
12:00,Thursday,1,
12:00,Thursday,2,
12:00,Friday,1,
12:00,Friday,2,
13:00,Monday,1,
13:00,Monday,2,
13:00,Tuesday,1,
13:00,Tuesday,2,
13:00,Wednesday,1,
13:00,Wednesday,2,
13:00,Thursday,1,
13:00,Thursday,2,
13:00,Friday,1,
13:00,Friday,2,
14:00,Monday,1,
14:00,Monday,2,
14:00,Tuesday,1,
14:00,Tuesday,2,
14:00,Wednesday,1,
14:00,Wednesday,2,
14:00,Thursday,1,
14:00,Thursday,2,
14:00,Friday,1,
14:00,Friday,2,
15:00,Monday,1,
15:00,Monday,2," (Sec 2A, Emp 120)"
15:00,Tuesday,1,
15:00,Tuesday,2," (Sec 2A, Emp 120)"
15:00,Wednesday,1,
15:00,Wednesday,2," (Sec 2A, Emp 120)"
15:00,Thursday,1,
15:00,Thursday,2," (Sec 2A, Emp 120)"
15:00,Friday,1,
15:00,Friday,2," (Sec 2A, Emp 120)"
16:00,Monday,1,
16:00,Monday,2,
16:00,Tuesday,1,
16:00,Tuesday,2,
16:00,Wednesday,1,
16:00,Wednesday,2,
16:00,Thursday,1,
16:00,Thursday,2,
16:00,Friday,1,
16:00,Friday,2,
17:00,Monday,1,
17:00,Monday,2,
17:00,Tuesday,1,
17:00,Tuesday,2,
17:00,Wednesday,1,
17:00,Wednesday,2,
17:00,Thursday,1,
17:00,Thursday,2,
17:00,Friday,1,
17:00,Friday,2,
