SCHEDULED CLASSES (EXACT MATCHES):
Scheduled: IT 326 - IOT Applications | Section 2A | Room [11, 13] | Emp 1 | Day Monday | Duration 120
Scheduled: IT 326 - IOT Applications | Section 2A | Room 132 | Emp 1 | Day Thursday | Duration 90
Scheduled: DB 325 - Database Management | Section 2A | Room 14 | Emp 2 | Day Monday | Duration 90
Scheduled: DB 325 - Database Management | Section 2A | Room 133 | Emp 2 | Day Monday | Duration 60
Scheduled: MA 324 - Mathematics | Section 2A | Room 134 | Emp 3 | Day Monday | Duration 150
Scheduled: IT 323 - Web Development | Section 2A | Room 15 | Emp 4 | Day Monday | Duration 60
Scheduled: IT 323 - Web Development | Section 2A | Room 135 | Emp 4 | Day Monday | Duration 60
Scheduled: EN 322 - English | Section 2A | Room 136 | Emp 5 | Day Monday | Duration 90
Scheduled: CN 321 - Networking | Section 2A | Room [16, 17] | Emp 6 | Day Wednesday | Duration 60
Scheduled: CN 321 - Networking | Section 2A | Room 137 | Emp 6 | Day Monday | Duration 90
Scheduled: PH 320 - Physics | Section 2A | Room 138 | Emp 7 | Day Tuesday | Duration 120
Scheduled: SE 319 - Software Engineering | Section 2A | Room 31 | Emp 8 | Day Monday | Duration 90
Scheduled: SE 319 - Software Engineering | Section 2A | Room 139 | Emp 8 | Day Friday | Duration 60
Scheduled: CAD 318 - Computer-Aided Design | Section 2B | Room 32 | Emp 9 | Day Friday | Duration 120
Scheduled: CAD 318 - Computer-Aided Design | Section 2B | Room 140 | Emp 9 | Day Monday | Duration 60
Scheduled: MA 317 - Engineering Mathematics | Section 2B | Room 141 | Emp 10 | Day Monday | Duration 90
Scheduled: EL 316 - Electronics | Section 2B | Room 73 | Emp 11 | Day Thursday | Duration 150
Scheduled: EL 316 - Electronics | Section 2B | Room 142 | Emp 11 | Day Monday | Duration 60
Scheduled: EN 315 - Engineering Drawing | Section 2B | Room 143 | Emp 12 | Day Monday | Duration 60
Scheduled: ME 314 - Mechanics | Section 2B | Room 231 | Emp 13 | Day Monday | Duration 90
Scheduled: ME 314 - Mechanics | Section 2B | Room 144 | Emp 13 | Day Monday | Duration 90
Scheduled: TH 313 - Thermodynamics | Section 2B | Room 145 | Emp 14 | Day Monday | Duration 120
Scheduled: MS 312 - Materials Science | Section 2B | Room 232 | Emp 1 | Day Monday | Duration 60
Scheduled: MS 312 - Materials Science | Section 2B | Room 146 | Emp 1 | Day Monday | Duration 60
Scheduled: EN 311 - Engineering Ethics | Section 2B | Room 147 | Emp 2 | Day Monday | Duration 90
Scheduled: CA 310 - Computer Applications | Section 2C | Room 33 | Emp 3 | Day Monday | Duration 90
Scheduled: CA 310 - Computer Applications | Section 2C | Room 148 | Emp 3 | Day Monday | Duration 60
Scheduled: BM 309 - Business Mathematics | Section 2C | Room 149 | Emp 4 | Day Monday | Duration 120
Scheduled: BC 308 - Business Communication | Section 2C | Room 150 | Emp 5 | Day Monday | Duration 60
Scheduled: AC 307 - Accounting | Section 2C | Room 34 | Emp 6 | Day Tuesday | Duration 90
Scheduled: AC 307 - Accounting | Section 2C | Room 151 | Emp 6 | Day Monday | Duration 90
Scheduled: EC 306 - Economics | Section 2C | Room 152 | Emp 7 | Day Monday | Duration 120
Scheduled: MK 305 - Marketing | Section 2C | Room 35 | Emp 8 | Day Monday | Duration 60
Scheduled: MK 305 - Marketing | Section 2C | Room 153 | Emp 8 | Day Monday | Duration 60
Scheduled: BL 304 - Business Law | Section 2C | Room 154 | Emp 9 | Day Monday | Duration 90
Scheduled: FN 303 - Finance | Section 2C | Room 183 | Emp 10 | Day Monday | Duration 60
