UNSCHEDULED: CN 321 - Networking | Section 2A | Room [16, 17] | Emp 6 | Day ['Saturday'] | Duration 1:00
UNSCHEDULED: EL 316 - Electronics | Section 2B | Room 73 | Emp 11 | Day ['Monday'] | Duration 2:30
UNSCHEDULED: FN 303 - Finance | Section 2C | Room 155 | Emp 10 | Day ['Monday'] | Duration 1:30
UNSCHEDULED: DS 401 - Data Structures | Section 3A | Room 116 | Emp 14 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 2:00
UNSCHEDULED: DS 401 - Data Structures | Section 3A | Room 181 | Emp 14 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 1:00
UNSCHEDULED: AL 400 - Algorithms | Section 3A | Room 117 | Emp 1 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 1:30
UNSCHEDULED: AL 400 - Algorithms | Section 3A | Room 182 | Emp 1 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 1:30
UNSCHEDULED: CA 403 - Computer Architecture | Section 3A | Room 300 | Emp 2 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 2:00
UNSCHEDULED: OS 404 - Operating Systems | Section 3A | Room 118 | Emp 3 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 1:00
UNSCHEDULED: OS 404 - Operating Systems | Section 3A | Room 199 | Emp 3 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 1:30
UNSCHEDULED: CN 405 - Computer Networks | Section 3A | Room 77 | Emp 4 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 1:30
UNSCHEDULED: CN 405 - Computer Networks | Section 3A | Room 200 | Emp 4 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 1:00
UNSCHEDULED: DM 406 - Discrete Mathematics | Section 3A | Room 201 | Emp 5 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 2:00
UNSCHEDULED: AE 410 - Advanced Electronics | Section 3B | Room 74 | Emp 9 | Day ['Monday'] | Duration 2:30
UNSCHEDULED: MT 414 - Manufacturing | Section 3B | Room 188 | Emp 13 | Day ['Monday'] | Duration 1:00
UNSCHEDULED: FM 423 - Financial Modeling | Section 3C | Room 218 | Emp 8 | Day ['Monday'] | Duration 1:30
UNSCHEDULED: GN 431 - Genetics | Section 3D | Room 13 | Emp 2 | Day ['Monday'] | Duration 1:30
UNSCHEDULED: CA 439 - Cultural Anthropology | Section 3E | Room 240 | Emp 10 | Day ['Monday'] | Duration 2:00
